manipulation_activity_id,manipulation_activity_admin_id,manipulation_activity_admin_name,manipulation_activity_customer_id,manipulation_activity_customer_name,manipulation_activity_type,manipulation_activity_action,manipulation_activity_ip,manipulation_activity_located,manipulation_activity_device,created_at
4842,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 07:10:25
4843,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 07:11:44
4844,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 07:11:45
4845,1,Quản Trị Viên,NULL,NULL,0,Duyệt Đơn Hàng ( Order Code : MYHOTEL3951),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 07:11:52
4846,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 07:11:52
4847,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 07:13:46
4848,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 07:13:47
4849,1,Quản Trị Viên,NULL,NULL,0,Duyệt Đơn Hàng ( Order Code : MYHOTEL3951),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 07:13:49
4850,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 07:13:50
4851,NULL,NULL,NULL,Khách Vãng Lai,1,Lỗi Khi Vào Trang Hóa Đơn Kết Quả Đặt Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 07:33:58
4852,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:56:39
4853,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:56:40
4854,1,Quản Trị Viên,NULL,NULL,0,Chuyển Đơn Phòng( ID : 7) Vào Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:56:42
4855,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:56:43
4856,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:56:43
4857,1,Quản Trị Viên,NULL,NULL,0,Xem Đơn Phòng Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:56:44
4858,1,Quản Trị Viên,NULL,NULL,0,Xem Đơn Phòng Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:56:44
4859,1,Quản Trị Viên,NULL,NULL,0,Khôi Phục Đơn Phòng ( ID : 7),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:56:47
4860,1,Quản Trị Viên,NULL,NULL,0,Xem Đơn Phòng Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:56:47
4861,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:56:52
4862,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:56:53
4863,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thương Hiệu,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:59:28
4864,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thương Hiệu,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 09:59:29
4865,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:00:48
4866,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:00:49
4867,NULL,NULL,NULL,Khách Vãng Lai,1,Hệ Thống Lưu Đơn Hàng Vào Database,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:25:52
4868,NULL,NULL,NULL,Khách Vãng Lai,1,Hệ Thống Gửi Mail Đến Người Dùng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:25:56
4869,NULL,NULL,NULL,Khách Vãng Lai,1,Đặt Phòng Thành Công!,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:25:57
4870,NULL,NULL,NULL,Khách Vãng Lai,1,Vào Trang Hóa Đơn Kết Quả Đặt Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:25:59
4871,NULL,NULL,NULL,Khách Vãng Lai,1,Hệ Thống Hủy Toàn Bộ Session Liên Quan Đến Đơn Hàng- Thanh Toán,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:26:00
4872,NULL,NULL,NULL,Khách Vãng Lai,1,Hệ Thống Lưu Đơn Hàng Vào Database,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:26:49
4873,NULL,NULL,NULL,Khách Vãng Lai,1,Hệ Thống Gửi Mail Đến Người Dùng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:26:53
4874,NULL,NULL,NULL,Khách Vãng Lai,1,Đặt Phòng Thành Công!,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:26:54
4875,NULL,NULL,NULL,Khách Vãng Lai,1,Vào Trang Hóa Đơn Kết Quả Đặt Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:26:56
4876,NULL,NULL,NULL,Khách Vãng Lai,1,Hệ Thống Hủy Toàn Bộ Session Liên Quan Đến Đơn Hàng- Thanh Toán,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:26:57
4877,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:27:55
4878,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Đơn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 10:27:55
4879,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:26:35
4880,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:26:39
4881,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:26:56
4882,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:27:02
4883,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:27:11
4884,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:27:23
4885,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Slider,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:27:24
4886,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:27:31
4887,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:30:47
4888,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:31:13
4889,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:31:31
4890,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:32:05
4891,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:35:09
4892,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:35:28
4893,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:35:29
4894,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:35:32
4895,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:35:32
4896,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:38:18
4897,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:38:19
4898,1,Quản Trị Viên,NULL,NULL,0,Thêm Mới Banner ADS ID : 4,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:40:14
4899,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:40:14
4900,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:40:14
4901,1,Quản Trị Viên,NULL,NULL,0,Chuyển Banner ADS( ID : 4) Vào Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:42:41
4902,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:42:42
4903,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:42:42
4904,1,Quản Trị Viên,NULL,NULL,0,Xem Banner ADS Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:46:55
4905,1,Quản Trị Viên,NULL,NULL,0,Xem Banner ADS Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:46:55
4906,1,Quản Trị Viên,NULL,NULL,0,Khôi Phục Banner ADS ( ID : 4),127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:46:58
4907,1,Quản Trị Viên,NULL,NULL,0,Xem Banner ADS Trong Thùng Rác,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:46:58
4908,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:46:59
4909,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:47:00
4910,1,Quản Trị Viên,NULL,NULL,0,Thêm Mới Banner ADS ID : 5,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:48:37
4911,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:48:37
4912,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Banner ADS,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 14:48:38
4913,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:00:51
4914,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Khách Sạn,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:00:52
4915,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:00:59
4916,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:00:59
4917,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thư Viện Ảnh,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:01:10
4918,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thư Viện Ảnh,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:01:10
4919,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:01:29
4920,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:01:29
4921,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thư Viện Ảnh,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:01:31
4922,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thư Viện Ảnh,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:01:33
4923,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Thư Viện Ảnh,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:01:39
4924,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:01:50
4925,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:01:50
4926,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Lựa Chọn Của Lựu Chọn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:02:01
4927,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Lựa Chọn Của Lựu Chọn Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:02:01
4928,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:02:28
4929,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:02:29
4930,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:02:53
4931,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:02:54
4932,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:02:58
4933,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:02:58
4934,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:03:33
4935,1,Quản Trị Viên,NULL,NULL,0,Xem Danh Sách Phòng,127.0.0.1,Không Xác Định,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",2022-12-22 15:03:34
